OrigZoneNo,DestZoneNo,Time,Time_Minutes,FromStopPointNo,ToStopPointNo,PathIndex
413,905,8135.0,135.58333333333334,33541,2236,11
414,905,5211.0,86.85,1109,2236,6
415,905,2990.0,49.833333333333336,2191,2236,3
416,905,10057.0,167.61666666666667,1587,17,3
417,905,5358.0,89.3,2188,2236,2
418,905,4316.0,71.93333333333334,457,2236,35
419,905,11271.0,187.85,1937,17,3
420,905,6089.0,101.48333333333333,1567,17,8
421,905,11284.0,188.06666666666666,1253,2236,4
422,905,8413.0,140.21666666666667,1521,2236,11
423,905,10579.0,176.31666666666666,1554,2236,1
424,905,8612.0,143.53333333333333,1339,2236,12
425,905,4411.0,73.51666666666667,589,2236,6
426,905,6404.0,106.73333333333333,2116,2236,8
427,905,5019.0,83.65,1140,17,1
428,905,8439.0,140.65,1258,2236,4
429,905,9096.0,151.6,1246,2236,7
430,905,4804.0,80.06666666666666,1078,2236,11
431,905,4266.0,71.1,1070,2236,2
432,905,6150.0,102.5,754,2236,31
433,905,3940.0,65.66666666666667,370,2236,5
434,905,6130.0,102.16666666666667,562,2236,5
435,905,1259.0,20.983333333333334,405,17,1
436,905,5642.0,94.03333333333333,1425,2236,3
437,905,7597.0,126.61666666666666,877,2236,3
438,905,1404.0,23.4,376,17,9
439,905,4762.0,79.36666666666666,888,2236,7
440,905,4873.0,81.21666666666667,1655,17,8
441,905,2361.0,39.35,36,2236,13
442,905,8155.0,135.91666666666666,1493,2236,3
443,905,6493.0,108.21666666666667,1529,2236,4
444,905,9969.0,166.15,2181,2236,7
445,905,6185.0,103.08333333333333,1061,2236,2
446,905,7681.0,128.01666666666668,1568,17,8
447,905,8517.0,141.95,1257,2236,4
448,905,7861.0,131.01666666666668,1332,2236,12
449,905,5027.0,83.78333333333333,1141,17,1
450,905,7163.0,119.38333333333334,1560,17,7
451,905,5299.0,88.31666666666666,1392,2236,1
452,905,5944.0,99.06666666666666,937,2236,9
453,905,6147.0,102.45,1563,17,8
