Origin,Origin_Population,Destination,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Egress_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,Mejor_JRT,Mejor_NTR,Mejor_RIT,Mejor_ACT,Mejor_EGT,Mejor_ACD,Mejor_EGD,Mejor_SFQ,Mejor_JRD,Mejor_RID,Mejor_TWT
141,1765.0,583,False,,,441.48983259625004,0.0,35319.1866077,0.0,4.3,0.0,0.0,3.55,0.75,0.236,0.05,0.0,0.286,0.0,0.0
142,93.0,672,True,455.0,2015.0,1.57128476625,1.4402706275,125.7027813,115.2216502,4.48,0.0,1.83,1.55,1.1,0.103,0.073,38.0,1.382,1.206,0.0
143,165.0,674,False,,,419.20822470125006,0.0,33536.6579761,0.0,3.53,0.0,0.0,1.65,1.88,0.111,0.126,0.0,0.236,0.0,0.0
144,9378.0,589,True,10.0,11.0,5.2774690725,6.6742026825,422.1975258,533.9362146,5.88,0.0,0.7,2.0,3.18,0.134,0.212,163.0,0.725,0.38,0.0
145,78.0,628,True,1268.0,1271.0,23.5408681925,0.88500294625,1883.2694554,70.8002357,22.05,0.0,4.8,16.38,0.87,1.092,0.057,8.0,4.636,3.486,0.0
146,91.0,632,False,,,711.7817640999999,0.0,56942.541128,0.0,48.98,0.0,0.0,48.23,0.75,3.215,0.05,0.0,3.265,0.0,0.0
147,13.0,691,True,1952.0,1654.0,48.413085355,3.9055565100000003,3873.0468284,312.4445208,35.83,0.0,4.98,26.83,4.02,1.789,0.268,7.0,6.929,4.872,0.0
148,722.0,634,False,,,414.20891264,0.0,33136.7130112,0.0,5.12,0.0,0.0,2.63,2.48,0.176,0.166,0.0,0.342,0.0,0.0
149,26.0,685,True,1166.0,1706.0,41.35772534125,0.88402311375,3308.6180273,70.7218491,30.77,0.0,5.83,24.43,0.5,1.629,0.034,2.0,4.917,3.254,0.0
150,93.0,662,True,1025.0,1029.0,21.268440565,1.02471803,1701.4752452,81.9774424,24.7,0.0,3.68,19.43,1.58,1.296,0.106,9.0,5.099,3.698,0.0
151,115.0,609,True,832.0,364.0,7.4525528925,1.090455565,596.2042314,87.2364452,8.28,0.0,3.6,3.48,1.2,0.232,0.08,84.0,2.34,2.027,0.0
