Origin,Origin_ZoneName,Origin_Population,Destination,Journey_Type,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Travel_Time_Minutes,Egress_Time_Minutes,Total_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,PathIndex,Mapeada_JRT,Mapeada_NTR,Mapeada_RIT,Mapeada_ACT,Mapeada_EGT,Mapeada_ACD,Mapeada_EGD,Mapeada_SFQ,Mapeada_JRD,Mapeada_RID,Mapeada_TWT
88,Bekea,71,901,Public Transport,True,957.0,1005.0,7.066631940000001,10.166666666666666,1.089115005,18.322413611666665,565.3305552,87.1292004,134.0,10.17,0,2.47,6.6,1.1,0.44,0.074,136,2.575,2.062,0.0
89,Bengoetxea,45,901,Public Transport,True,1561.0,1004.0,1.2752569037500001,76.01666666666667,2.95083712375,80.24276069416668,102.0205523,236.0669699,20.0,78.23,0,75.67,0.77,1.8,0.051,0.12,23,32.822,32.65,0.0
90,Berango,4544,904,Public Transport,True,2080.0,2219.0,5.86429660625,20.2,0.79330144375,26.85759805,469.1437285,63.4641155,1.0,20.2,0,14.35,4.92,0.93,0.328,0.062,22,5.981,5.592,0.0
91,Bermeo,16507,901,Public Transport,True,1096.0,1078.0,3.7924819800000003,67.13333333333334,0.9184603362500001,71.84427564958335,303.3985584,73.4768269,18.0,67.13,1,62.65,3.55,0.93,0.237,0.062,17,37.602,37.304,6.07
92,Bernagoitia,36,901,Public Transport,True,1413.0,1078.0,35.8706173075,40.05,0.9184603362500001,76.83907764375,2869.6493846,73.4768269,36.0,44.1,0,22.25,20.92,0.93,1.394,0.062,38,17.827,16.37,0.0
93,Bernales,26,902,Public Transport,True,750.0,209.0,63.192455582499996,129.38333333333333,,,5055.3964466,,5.0,129.38,2,79.62,48.18,1.58,3.213,0.106,7,55.49,52.171,8.85
94,Berreagamendi,2046,904,Public Transport,True,1692.0,2220.0,0.4115104025,44.516666666666666,0.90773412,45.835911189166666,32.9208322,72.6187296,2.0,44.52,1,43.32,0.5,0.7,0.034,0.047,15,19.323,19.243,5.5
95,Berrio-Aldape,100,901,Public Transport,True,1483.0,1078.0,32.49465461,79.13333333333334,0.9184603362500001,112.54644827958334,2599.5723688,73.4768269,31.0,79.13,0,54.0,24.2,0.93,1.613,0.062,30,33.59,31.914,0.0
96,Berriz-Olakueta,3804,901,Public Transport,True,1714.0,1078.0,2.1402040225,28.08333333333333,0.9184603362500001,31.14199769208333,171.2163218,73.4768269,5.0,28.08,0,23.4,3.75,0.93,0.25,0.062,15,27.486,27.174,0.0
97,Bezi,36,903,Public Transport,True,811.0,278.0,15.73442221625,87.03333333333333,,,1258.7537773,,6.0,90.57,1,72.3,14.18,4.08,0.946,0.272,7,32.504,31.287,12.52
98,Biáñez,79,902,Public Transport,True,748.0,209.0,17.8635540625,91.5,,,1429.084325,,5.0,91.5,2,76.98,12.93,1.58,0.862,0.106,7,50.552,49.584,8.85
99,Bidekoetxea,41,901,Public Transport,True,1394.0,1078.0,2.3134517312500003,7.616666666666666,0.9184603362500001,10.848578734166667,185.0761385,73.4768269,2.0,7.62,0,4.12,2.57,0.93,0.171,0.062,65,2.766,2.532,0.0
100,Bikarregi,94,901,Public Transport,True,1973.0,1078.0,40.08112193875,50.6,0.9184603362500001,91.59958227500002,3206.4897551,73.4768269,15.0,50.6,0,24.37,25.3,0.93,1.687,0.062,15,15.875,14.126,0.0
101,Bilbao,348605,902,Public Transport,True,1823.0,209.0,3.880949215,10.216666666666669,,,310.4759372,,127.0,11.03,0,2.73,6.72,1.58,0.448,0.106,207,1.883,1.33,0.0
102,Bolibar,174,901,Public Transport,True,1493.0,1078.0,25.32566284875,69.73333333333333,0.9184603362500001,95.97745651833334,2026.0530279,73.4768269,15.0,69.73,0,41.45,27.35,0.93,1.823,0.062,15,40.308,38.422,0.0
103,Bollain,36,902,Public Transport,True,784.0,209.0,21.2243718575,94.83333333333331,,,1697.9497486,,5.0,94.83,2,78.25,15.0,1.58,1.0,0.106,7,51.72,50.614,8.85
104,Bolunburu,40,901,Public Transport,True,1389.0,1078.0,3.2052226662499996,17.216666666666665,0.9184603362500001,21.340349669166663,256.4178133,73.4768269,29.0,17.22,0,11.33,4.95,0.93,0.33,0.062,30,7.42,7.027,0.0
105,Botiola,36,904,Public Transport,True,1761.0,2220.0,25.55555867625,63.95,0.90773412,90.41329279625,2044.4446941,72.6187296,1.0,63.95,1,44.75,18.5,0.7,1.233,0.047,2,20.667,19.388,9.52
106,Brisketa,27,901,Public Transport,True,182.0,1005.0,24.8330889525,35.36666666666667,1.089115005,61.28887062416666,1986.6471162,87.1292004,1.0,35.37,0,22.3,11.97,1.1,0.798,0.074,51,10.429,9.557,0.0
107,Burbustu-Altamira,6,901,Public Transport,True,178.0,1004.0,31.48797414875,45.5,2.95083712375,79.9388112725,2519.0379319,236.0669699,52.0,45.5,0,27.62,16.08,1.8,1.072,0.12,46,12.708,11.515,0.0
108,Cadegal,27,903,Public Transport,True,587.0,284.0,27.267207685,25.183333333333334,,,2181.3766148,,4.0,25.18,0,12.73,9.92,2.53,0.661,0.169,31,9.742,8.913,0.0
109,Centro Civico,743,904,Public Transport,True,11.0,2219.0,2.5115688425,29.116666666666667,0.79330144375,32.42153695291667,200.9255074,63.4641155,9.0,29.12,0,26.4,1.78,0.93,0.119,0.062,15,11.641,11.46,0.0
110,Cobarón,81,903,Public Transport,True,710.0,284.0,0.96348907,57.2,,,77.0791256,,1.0,60.57,1,55.85,0.63,4.08,0.042,0.272,8,23.705,23.391,0.03
111,Concha,452,902,Public Transport,True,750.0,209.0,1.71496319,83.23333333333333,,,137.1970552,,5.0,83.23,2,79.62,2.03,1.58,0.135,0.106,7,52.413,52.171,8.85
112,Cotorrio,25,903,Public Transport,True,580.0,284.0,31.34191632125,40.93333333333333,,,2507.3533057,,6.0,48.7,0,32.57,13.6,2.53,0.907,0.169,38,18.348,17.273,0.0
113,Cueto,36,902,Public Transport,True,2185.0,209.0,21.82204902625,94.23333333333332,,,1745.7639221,,1.0,94.23,3,78.85,13.8,1.58,0.92,0.106,2,42.482,41.456,19.78
114,Demiku,22,901,Public Transport,True,1096.0,1078.0,20.80055230125,79.51666666666667,0.9184603362500001,101.23567930416667,1664.0441841,73.4768269,18.0,79.52,1,62.65,15.93,0.93,1.063,0.062,17,38.429,37.304,6.07
