Zona_Origen,Poblacion_Origen,Zona_Destino,Usa_Transporte_Publico,Parada_Origen,Parada_Destino,Tiempo_Acceso_Minutos,Tiempo_Salida_Minutos,Distancia_Acceso_Metros,Distancia_Salida_Metros,Fuente_Datos_Acceso,Fuente_Datos_Salida,Tiempo_Viaje_Total_Minutos,Tiempo_Trayecto_Minutos,Numero_Transbordos,Distancia_Viaje_Total_Km,Distancia_Trayecto_Km,Tiempo_Espera_Transbordo_Minutos,Frecuencia_Servicio,Tiempo_Acceso_Original,Tiempo_Salida_Original,Distancia_Acceso_Original_Km,Distancia_Salida_Original_Km,Tiempo_Viaje_Original_Minutos,Tiempo_Total_Puerta_a_Puerta_Minutos,Verificacion_Tiempo_Total
62,2381.0,902,True,466.0,209.0,2.00973798375,1.58,160.7790387,106.0,Calculado,Mapeado,25.669737983749997,22.08,2.0,13.978,13.725,2.92,19.0,2.2,1.58,0.146,0.106,25.87,25.669737983749997,28.58973798375
63,3761.0,902,True,469.0,209.0,13.84220172125,1.58,1107.3761377,106.0,Calculado,Mapeado,34.84220172125,19.42,2.0,12.3,11.634,2.92,34.0,8.4,1.58,0.56,0.106,29.4,34.84220172125,37.76220172125
64,30.0,901,True,1348.0,1005.0,53.8101867725,1.089115005,4304.8149418,87.1292004,Calculado,Calculado,88.1493017775,33.25,0.0,16.077,13.877,0.0,40.0,31.9,1.1,2.126,0.074,66.25,88.1493017775,88.1493017775
65,45.0,901,True,1394.0,1078.0,5.4229442325,0.91846033625,433.8355386,73.4768269,Calculado,Calculado,10.46140456875,4.12,0.0,3.019,2.532,0.0,65.0,6.37,0.93,0.424,0.062,11.42,10.46140456875,10.46140456875
66,50.0,901,True,1388.0,1078.0,1.8441773825,0.91846033625,147.5341906,73.4768269,Calculado,Calculado,15.59263771875,12.83,0.0,8.74,8.587,0.0,30.0,1.35,0.93,0.09,0.062,15.12,15.59263771875,15.59263771875
67,43.0,901,True,2174.0,1078.0,30.140410107500003,0.91846033625,2411.2328086,73.4768269,Calculado,Calculado,56.588870443750004,25.53,0.0,19.1,18.178,0.0,34.0,12.88,0.93,0.859,0.062,39.35,56.588870443750004,56.588870443750004
68,28.0,901,True,1490.0,1078.0,37.09289674875,0.91846033625,2967.4317399,73.4768269,Calculado,Calculado,98.941357085,60.93,0.0,51.763,50.987,0.0,15.0,10.7,0.93,0.713,0.062,72.57,98.941357085,98.941357085
69,10312.0,902,True,61.0,209.0,0.8653357937499999,1.58,69.2268635,106.0,Calculado,Mapeado,41.51533579375,39.07,2.0,16.456,16.295,2.23,48.0,0.82,1.58,0.055,0.106,41.47,41.51533579375,43.745335793749994
70,53.0,901,True,1107.0,1078.0,3.624252665,0.91846033625,289.9402132,73.4768269,Calculado,Calculado,46.67271300125,42.13,1.0,25.376,25.132,6.07,17.0,2.73,0.93,0.182,0.062,45.8,46.67271300125,52.74271300125
71,155.0,904,True,1631.0,2220.0,9.44478875,0.90773412,755.5831,72.6187296,Calculado,Calculado,28.832522870000002,18.48,0.0,12.144,11.378,0.0,15.0,10.8,0.7,0.719,0.047,29.98,28.832522870000002,28.832522870000002
