Zona_Origen;Poblacion_Origen;Zona_Destino;Usa_Transporte_Publico;Parada_Origen;Parada_Destino;Tiempo_Acceso_Minutos;Tiempo_Salida_Minutos;Distancia_Acceso_Metros;Distancia_Salida_Metros;Tiempo_Viaje_Total_Minutos;Tiempo_Trayecto_Minutos;Numero_Transbordos;Distancia_Viaje_Total_Km;Distancia_Trayecto_Km;Tiempo_Espera_Transbordo_Minutos;Frecuencia_Servicio
138;183;651;False;;;2.45;2.45;164.00;163.00;4.90;0;0;0.327;0;0;0
139;3851;582;False;;;2.55;2.30;170.00;154.00;4.85;0;0;0.324;0;0;0
140;431;662;True;2254;1055;4.42;0.98;353.81;78.50;5.98;0.58;0;0.64;0.386;0;8
141;1765;583;False;;;3.55;0.75;236.00;50.00;4.30;0;0;0.286;0;0;0
142;93;672;True;455;2015;1.57;1.44;125.70;115.22;4.84;1.83;0;1.382;1.206;0;38
143;165;674;False;;;1.65;1.88;111.00;126.00;3.53;0;0;0.236;0;0;0
144;9378;589;True;10;11;5.28;6.67;422.20;533.94;12.65;0.7;0;0.725;0.38;0;163
145;78;628;True;1268;1271;23.54;0.89;1883.27;70.80;29.23;4.8;0;4.636;3.486;0;8
146;91;632;False;;;48.23;0.75;3215.00;50.00;48.98;0;0;3.265;0;0;0
147;13;691;True;1952;1654;48.41;3.91;3873.05;312.44;57.30;4.98;0;6.929;4.872;0;7
148;722;634;False;;;2.63;2.48;176.00;166.00;5.12;0;0;0.342;0;0;0
149;26;685;True;1166;1706;41.36;0.88;3308.62;70.72;48.07;5.83;0;4.917;3.254;0;2
150;93;662;True;1025;1029;21.27;1.02;1701.48;81.98;25.97;3.68;0;5.099;3.698;0;9
151;115;609;True;832;364;7.45;1.09;596.20;87.24;12.14;3.6;0;2.34;2.027;0;84
152;138;675;False;;;4.90;5.52;326.00;368.00;10.42;0;0;0.694;0;0;0
153;20;623;True;1537;1544;21.36;0.77;1708.48;61.30;29.92;7.8;0;7.295;6.089;0;32
