Origin,Origin_Population,Destination,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Egress_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,Total_Time_Minutes,Journey_Type,Mejor_JRT,Mejor_NTR,Mejor_RIT,Mejor_ACT,Mejor_EGT,Mejor_ACD,Mejor_EGD,Mejor_SFQ,Mejor_JRD,Mejor_RID,Mejor_TWT
392,231.0,718,True,2264,2064,2.102702495,,168.2161996,,,Public Transport,28.57,0.0,19.38,6.68,2.5,0.446,0.166,27.0,11.504,10.892,0.0
393,6.0,718,True,1262,284,20.624374951249997,,1649.9499961,,,Public Transport,99.8,2.0,85.12,12.15,2.53,0.81,0.169,13.0,58.749,57.77,2.7
394,3725.0,718,True,1427,278,1.9064100087500002,,152.5128007,,,Public Transport,53.85,1.0,46.72,4.6,2.53,0.306,0.169,47.0,38.214,37.74,5.55
395,126.0,718,True,806,278,2.7856323,,222.850584,,,Public Transport,83.37,1.0,76.17,3.12,4.08,0.207,0.272,7.0,34.781,34.302,12.52
396,55.0,718,True,796,278,3.47452264125,,277.9618113,,,Public Transport,87.57,1.0,79.8,3.68,4.08,0.245,0.272,7.0,37.658,37.141,12.52
397,58.0,718,True,617,283,7.433972011250001,,594.7177609,,,Public Transport,55.77,1.0,43.0,8.68,4.08,0.579,0.272,15.0,16.206,15.355,8.6
398,169.0,718,True,1149,2064,6.842711250000001,,547.4169,,,Public Transport,53.45,1.0,46.58,4.37,2.5,0.291,0.166,12.0,25.877,25.42,5.47
399,611.0,718,True,2089,278,4.55193355125,,364.1546841,,,Public Transport,84.12,2.0,74.28,7.33,2.5,0.489,0.166,29.0,27.736,27.081,22.27
400,129.0,718,True,1536,278,6.4017496575,,512.1399726,,,Public Transport,55.95,1.0,47.27,7.37,1.32,0.491,0.088,36.0,24.608,24.029,2.27
401,1002.0,718,True,7,2064,5.14335739375,,411.4685915,,,Public Transport,25.58,0.0,19.03,4.05,2.5,0.27,0.166,31.0,10.554,10.117,0.0
402,31.0,718,True,1273,284,1.6603770812499998,,132.8301665,,,Public Transport,71.05,2.0,66.17,2.35,2.53,0.156,0.169,16.0,46.484,46.159,2.7
403,21.0,718,True,9,2064,1.5579174999999998,,124.6334,,,Public Transport,19.75,0.0,15.63,1.62,2.5,0.108,0.166,31.0,9.09,8.816,0.0
404,4092.0,718,True,1344,284,23.355755528750002,,1868.4604423,,,Public Transport,79.67,2.0,70.98,6.15,2.53,0.41,0.169,22.0,25.958,25.379,6.57
405,33.0,718,True,992,284,1.2175283587499999,,97.4022687,,,Public Transport,89.75,1.0,86.4,0.82,2.53,0.055,0.169,19.0,69.469,69.245,5.55
406,463.0,718,True,1973,278,0.4267404525,,34.1392362,,,Public Transport,63.15,2.0,61.28,0.55,1.32,0.037,0.088,15.0,32.503,32.378,9.35
407,36.0,718,True,1525,278,1.1174360975000002,,89.3948878,,,Public Transport,61.87,1.0,59.62,0.93,1.32,0.062,0.088,24.0,34.216,34.066,6.88
